latitude,longitude,cas_pozorovani_utc,misto_pozorovani,kdo_pocitil,popis_intenzity_kategorie,strach_panika,pohyb_predmetu,poskozeni_budov,zvuk_reportovan,ems98_odhad
49.3010178,14.1326144,2025-04-24 17:35:00+00:00,Doma,Většina,silné otřsx,Ano,Ne,Ne,Ano,Neklasifikováno
49.5273253,14.3392403,2025-04-24 17:35:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
48.9361849,14.4038336,2025-04-24 17:35:00+00:00,Doma,Nezadáno,silné otřsx,Ano,Ne,Ne,Ano,Neklasifikováno
49.5576388,13.9506344,2025-04-24 17:33:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.6390235,14.2534486,2025-04-24 17:32:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.8510967,14.4054338,2025-04-24 17:35:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.5944134,13.9566684,2025-04-24 17:34:00+00:00,Doma,Většina,slabé zachvění,Ano,Ne,Ne,Ano,III - Slabé
49.2998878,14.1467331,2025-04-24 17:30:00+00:00,Doma,Jen respondent,žádný,Ne/Nezadáno,Ne,Ne,Ano,II - Zřídka pocítěno
49.4555036,14.3580148,2025-04-24 17:35:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.3137795,14.164337,2025-04-24 17:33:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Ne,Ano,Neklasifikováno
49.4409982,13.5155826,2025-04-24 17:32:00+00:00,Doma,Většina,silné otřsx,Ano,Ne,Ne,Ano,Neklasifikováno
49.0895871,14.3708052,2025-04-24 17:33:00+00:00,Doma,Většina,žádný,Ne/Nezadáno,Ne,Nezadáno,Ano,Neklasifikováno
49.4409982,13.5155826,2025-04-24 17:32:00+00:00,Doma,Většina,silné otřsx,Ano,Ne,Ne,Ano,Neklasifikováno
49.2993069,14.4629149,2025-04-24 17:40:00+00:00,Doma,Většina,žádný,Ano,Ne,Ne,Ano,Neklasifikováno
49.5892381,14.2214101,2025-04-24 17:34:00+00:00,Doma,Většina,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
49.7201595,14.2740324,2025-04-24 17:32:00+00:00,Doma,Jen respondent,slabé zachvění,Ne/Nezadáno,Ne,Ne,Ano,III - Slabé
